2016-09-27 23:14:47.5831 | DEBUG | XBee.XBee | XBee.Frames.ATCommandResponse
2016-09-27 23:14:47.5861 | DEBUG | XBee.XBeeChecksum | Computed checksum is 0x4B
2016-09-27 23:14:47.5861 | DEBUG | XBee.SerialConnection | Sending data: [0x7E 0x00 0x04 0x08 0x04 0x56 0x52 0x4B]
2016-09-27 23:14:47.6151 | DEBUG | XBee.SerialConnection | Receiving data: [0x7E 0x00 0x07 0x88 0x04 0x56 0x52 0x00 0x80 0x74 0xD7]
2016-09-27 23:14:47.6151 | DEBUG | XBee.XBeeChecksum | Computed checksum is 0x00
2016-09-27 23:14:47.6151 | DEBUG | XBee.XBeeChecksum | Verify checksum is 0x00
2016-09-27 23:14:47.6191 | DEBUG | XBee.XBee | XBee.Frames.ATCommandResponse
2016-09-27 23:14:47.6191 | DEBUG | XBee.XBeeChecksum | Computed checksum is 0x60
2016-09-27 23:14:47.6191 | DEBUG | XBee.SerialConnection | Sending data: [0x7E 0x00 0x04 0x08 0x05 0x4E 0x44 0x60]
2016-09-27 23:14:51.0055 | DEBUG | XBee.SerialConnection | Receiving data: [0x7E]
2016-09-27 23:14:51.0215 | DEBUG | XBee.SerialConnection | Receiving data: [0x00 0x19 0x88 0x05 0x4E 0x44 0x00 0xFF 0xFE 0x00 0x13 0xA2 0x00 0x41 0x52]
2016-09-27 23:14:51.0375 | DEBUG | XBee.SerialConnection | Receiving data: [0xB7 0x3D 0x20 0x00 0xFF 0xFE 0x01 0x00 0xC1 0x05 0x10 0x1E 0x95]
2016-09-27 23:14:51.0375 | DEBUG | XBee.XBeeChecksum | Computed checksum is 0x00
2016-09-27 23:14:51.0375 | DEBUG | XBee.XBeeChecksum | Verify checksum is 0x00
2016-09-27 23:14:51.0425 | DEBUG | XBee.XBee | XBee.Frames.ATCommandResponse
2016-09-28 01:28:30.0844 | DEBUG | XBee.SerialConnection | Sending data: [0x7E 0x00 0x04 0x08 0x01 0x41 0x50 0x65]
2016-09-28 01:28:30.1884 | DEBUG | XBee.SerialConnection | Receiving data: [0x7E 0x00 0x06 0x88 0x01 0x41 0x50 0x00 0x01 0xE4]
2016-09-28 01:28:30.2285 | DEBUG | XBee.XBee | XBee.Frames.ATCommandResponse
